First Name,Last Name,Party,State,Stance,Statement,Statement Link,Reelection Year,Address,Phone Number,Local Office Number,Email/Contact Form,Twitter Link,Handle,Press/Campaign Handle,Local Office Address,Previous Contradictory Statement
Michael,Bennet,D,CO,Opposed,"Refugee EO will harm our natl security, undermine our values, & marks a significant departure from our history of welcoming those in need.",https://twitter.com/SenBennetCO/status/825140252947918848,,458 Russell Senate Office Building,202-224-5852,303-455-7600,www.bennet.senate.gov/?p=contact,https://twitter.com/SenBennetCO,@SenBennetCO,@BennetForCO,"1127 Sherman St. Suite 150, Denver, CO 80203",
Cory,Gardner,R,CO,Opposed,"While I am supportive of strengthening our screening processes and securing our borders, a blanket travel ban goes too far. I also believe that lawful residents of the United States should be permitted to enter the country. I urge the Administration to take the appropriate steps to fix this overly broad executive order.",https://www.denverite.com/sen-cory-gardner-says-trumps-refugee-travel-ban-overly-broad-28390/,2020,730 Hart Senate Office Building,202-224-5941,719-543-1324,https://www.gardner.senate.gov/contact-cory/email-cory,https://twitter.com/repcorygardner,@CoryGardner,,"503 N. Main Street, Suite 426, Pueblo, CO 81003 ",
Richard,Blumenthal,D,CT,Opposed,"Standing w/ @MayorBronin, immigration&refugee advocates, &Muslim-Americans against Trump’s divisive&destructive immigration agenda",https://twitter.com/SenBlumenthal/status/825038759594962946,,724 Hart Senate Office Building,202-224-2823,860-258-6940,https://www.blumenthal.senate.gov/contact/,https://twitter.com/SenBlumenthal,@SenBlumenthal,@DickBlumenthal,"90 State House Square, Tenth Floor, Hartford, CT 06103",
Chris,Murphy,D,CT,Opposed,"Read full statement in HuffPo. ""...Trump’s Muslim ban is a moral abomination. It is fundamentally un-American. And it is dangerous – it will give life back to the terrorist movement and eventually get Americans killed.""",http://www.huffingtonpost.com/entry/5888fe22e4b0628ad613ddb2?timestamp=1485553271822,,303 Hart Senate Office Building,202-224-4041,860-549-8463,http://www.murphy.senate.gov/contact,https://twitter.com/ChrisMurphyCT,@ChrisMurphyCT,,"Colt Gateway, 120 Huyshope Avenue, Suite 401, Hartford, CT 06106",
Tom,Carper,D,DE,Opposed,"Make no mistake, I'm against the #MuslimBan and I'm going to fight with all of my might against it",https://twitter.com/SenatorCarper/status/825452001114873856,,513 Hart Senate Office Building,202-224-2441,302-573-6291,www.carper.senate.gov/public/index.cfm/email-senator-carper,https://twitter.com/SenatorCarper,@SenatorCarper,,"301 North Walnut Street, Suite 102L-1, Wilmington, DE 19801",
Chris,Coons,D,DE,Opposed,"...We are a nation of immigrants that has tried to lead by example. But today the world is seeing an America that is returning to the politics of exclusion based on religion or nationalist. I'm angered and saddened by President Trump's decision to sign an executive order that seems intenteded to make a point, not to make us safe. The executive orders by this preseident that exceed his authority can and should be challenges, as were the executive orders of previous presidents of both parties.",https://t.co/LMprxzfM4A,,127A Russell Senate Office Building,202-224-5042,302-573-6345,https://www.coons.senate.gov/contact,https://twitter.com/ChrisCoons,@ChrisCoons,,"1105 N. Market St., Suite 100, Wilmington, DE 19801",
Bill,Nelson,D,FL,Opposed,"We have to do everything we can to protect ourselves from those who want to do us harm, but a hastily-issued policy that bans everyone from one of these seven countries from entering the U.S. — including the Iraqi interpreters who served alongside our troops in Iraq — is not the answer.",http://www.miamiherald.com/news/local/community/miami-dade/article129408379.html,2018,716 Hart Senate Office Building,202-224-5274,954-693-4851,https://www.billnelson.senate.gov/contact-bill,https://twitter.com/SenBillNelson,@SenBillNelson,@NelsonForSenate,"3416 South University Drive, Fort Lauderdale, FL 33328",
Marco,Rubio,R,FL,Skeptical,"We generally support additional vetting for many of those entering our country from nations where the United States has identified there are serious concerns regarding terrorist activities and planning. But given the broad scope and nature of these policy changes, we have some unanswered questions and concerns. We are seeking clarity on the changes to the Visa Waiver program, which is critical to the economies of our respective states.",https://www.washingtonpost.com/news/the-fix/wp/2017/01/29/heres-where-republicans-stand-on-president-trumps-controversial-travel-ban/?utm_term=.f53e6b3e35fb,2022,284 Russell Senate Office Building,202-224-3041,407-254-2573,http://www.rubio.senate.gov/public/index.cfm/contact,https://twitter.com/marcorubio,@marcorubio,@SenRubioPress,"201 South Orange Ave, Suite 350, Orlando, FL 32801",
Johnny,Isakson,R,GA,Skeptical,"Two separate pieces from interviews -1) ""President Trump and his administration have been taking steps to fulfill his campaign promises, and he’s right that we need to strengthen our national security and improve the vetting process for people coming into our country. Unfortunately, some important aspects of the process to ensure that this temporary travel ban could be implemented smoothly were overlooked. I hope that President Trump will consult with the national security team he has assembled with the advice and consent of the Senate, so that security measures are properly implemented and do not infringe on the constitutional rights of law-abiding Americans. I also believe that America should continue to be welcoming to refugees who are fleeing war and persecution and who share America’s ideals and values"" 2) ""I do think in the case of the immigration issue that the mandate over the weekend was not very well vetted and the people designed to carry out the mandate didn’t know what the mandate was, and when asked some of the questions it didn’t sound like the White House knew what it was exactly. They’ve amended it a couple times already. You need to be very careful when you’re issuing executive orders or passing laws that you vet them all the way through the system so you can carry them out once they’re in place.",http://politics.blog.ajc.com/2017/01/30/georgia-republicans-slowly-line-up-behind-donald-trumps-refugee-ban/ and https://www.washingtonpost.com/news/the-fix/wp/2017/01/29/heres-where-republicans-stand-on-president-trumps-controversial-travel-ban/?utm_term=.15d42fb8fe4e,2022,131 Russell Senate Office Building,202-224-3643,770-661-0999,https://www.isakson.senate.gov/public/index.cfm/email-me,https://twitter.com/SenatorIsakson,@SenatorIsakson,@JohnnyIsakson,"One Overton Park, 3625 Cumberland Blvd., Suite 970, Atlanta, GA 30339","Theguiardian.com, June 14, 2016 Senator Johnny Isakson of Georgia, who faces re-election this year, insisted that he hadn’t heard Trump’s speech on Monday. As Isakson told the Guardian: “I hate to comment on something I didn’t hear.” But the Republican did make clear his opposition to Trump’s Muslim ban, saying: “Banning immigrants coming into the country isn’t going to solve terrorism; banning guns is not going stop murder.”"
David,Perdue,R,GA,Support,"We are at war with ISIS and our previous president refused to put a plan in place to deal with this threat. We know terrorists identified our country's refugee system as a weakness and have purposed to exploit this program to their advantage. The first responsibility of any American President is to protect American citizens. This temporary pause will allow DHS to ensure the vetting process is improved. America will always be a compassionate country, and President Trump is taking action to protect all of our citizens.",https://twitter.com/sendavidperdue/status/826211709295681538,2020,416 Russell Senate Office Building,202-224-3521,(404) 865-0087,https://www.perdue.senate.gov/connect/email,https://twitter.com/sendavidperdue,@sendavidperdue,@Perduesenate,"191 Peachtree Street NE, Suite 3250, Atlanta, GA 30303 ",
Mazie,Hirono,D,HI,Opposed,"It’s despicable that President Trump chose Holocaust Remembrance Day to issue yet another executive order that exploits fear of refugees and immigrants. This is wrong. I will continue to fight the President’s extreme, knee jerk actions that divide our country. #RefugeesWelcome",https://twitter.com/maziehirono/status/825124910959849473,,330 Hart Senate Office Building,202-224-6361,808-522-8970,www.hirono.senate.gov/contact,https://twitter.com/maziehirono,@maziehirono,@mazieforhawaii,"300 Ala Moana Blvd., Rm. 3-106, Honolulu, HI 96850",
Brian,Schatz,D,HI,Opposed,(Among other tweets) Shame. Shame. Shame. Today is a dark day. I feel sick. #MuslimBan,https://twitter.com/brianschatz/status/825149571252641792,,722 Hart Senate Office Building,202-224-3934,808-523-2061,www.schatz.senate.gov/contact,https://twitter.com/brianschatz,@brianschatz,,"300 Ala Moana Boulevard, Room 7-212, Honolulu, HI 96850",
Joni,Ernst,R,IA,Skeptical,"With respect to the President’s Executive Order, there must be more clarity surrounding the order’s implementation. In our efforts to protect our nation from ISIS, we also must ensure we are not inadvertently penalizing our allies in the fight against radical Islamic terrorism– especially those who have supported U.S. military efforts in Iraq.",https://www.washingtonpost.com/news/the-fix/wp/2017/01/29/heres-where-republicans-stand-on-president-trumps-controversial-travel-ban/?utm_term=.f53e6b3e35fb,2020,731 Hart Senate Office Building,202-224-3254,(307) 261-6572,https://www.ernst.senate.gov/public/index.cfm/contact,https://twitter.com/joniernst,@joniernst,,"733 Federal Building
210 Walnut Street
Des Moines, IA 50309",
Chuck,Grassley,R,IA,Soft support,"The goals of the Executive Order are commendable, and something President Trump promised during the campaign, but implementation will be key to ensuring the bad guys are kept out while remaining a welcoming nation to people of all backgrounds and religions.",https://www.washingtonpost.com/news/the-fix/wp/2017/01/29/heres-where-republicans-stand-on-president-trumps-controversial-travel-ban/?utm_term=.55eed082f687,2022,135 Hart Senate Office Building,202-224-3744,(319) 363-6832,http://www.grassley.senate.gov/contact,https://twitter.com/ChuckGrassley,@ChuckGrassley,,"111 7th Avenue SE, Box 13, Suite 6800, Cedar Rapids, IA",
Michael,Crapo,R,ID,Soft support,"I fully agree with the President's intention to improve security at our borders and more fully vet those entering our country. That said, the way this order is implemented in the coming days and weeks may change as we've already seen unintended consequences for holders of legal green cards and others who were initially detained. I respect the differing viewpoints of Idahoans on the issue and ask for patience as we work through the plans needed to ensure our longterm safety.",https://twitter.com/MikeCrapo/status/826168487991205888,2022,239 Dirksen Senate Office Building,202-224-6142,(208) 522-9779,http://www.crapo.senate.gov/contact/email.cfm,https://twitter.com/MikeCrapo,@MikeCrapo,,"410 Memorial Drive, Suite 204, Idaho Falls, ID 83402 ",
Jim,Risch,R,ID,Soft support,"Senator Risch believes the security of America and Americans is of the upmost importance. Since the order was issued just this past Friday, and there is much speculation about specifics of the President’s action, and many moving parts, Senator Risch is gathering and reviewing information from a number of sources and will learn more when he returns to Washington, D.C. for briefings this week. A comment at this time would be premature. “Senator Risch has consistently said that, in many cases, the US vetting process for many areas of the world has been inadequate and does not ensure the safety of all Americans.”",http://www.idahostatesman.com/news/politics-government/state-politics/article129514754.html,2020,483 Russell Senate Office Building,202-224-2752,208-342-7985,http://www.risch.senate.gov/public/index.cfm?p=Email,https://twitter.com/SenatorRisch,@SenatorRisch,,"350 N. 9th St., Suite 302, Boise, Idaho 83702",
Tammy,Duckworth,D,IL,Opposed,"Joint statement with Durbin - This rushed and poorly drafted Trump Administration initiative endangers our national security by limiting travel from certain Muslim-majority countries, and it may violate long-standing immigration law in its treatment of legal permanent residents by undermining vital rights like due process and equal protection that are guaranteed by the United States Constitution... The chaotic execution of this [Executive Order] … raises serious concerns in regard to whether taxpayer dollars were efficiently and effectively spent, rather than wasted on unwarranted and unjust detentions of lawful permanent residents (LPRs) and others who posed no security threat, and who had already been authorized by the United States Government to enter our country,” Duckworth and Durbin wrote. “We are deeply concerned by [Customs and Border Protection’s] failure to respond to time-sensitive Congressional oversight inquiries and allegations that the agency refused to permit attorneys to meet with detained LPRs at O’Hare and other airports across the country",https://www.duckworth.senate.gov/content/duckworth-durbin-request-immediate-investigation-department-homeland-security%E2%80%99s,,524 Hart Senate Office Building,202-224-2854,(312)886-3506,https://www.duckworth.senate.gov/content/contact-senator,https://twitter.com/RepDuckworth,@RepDuckworth,,"230 S. Dearborn Street, Suite 3892, Chicago, IL 60604",
Richard,Durbin,D,IL,Opposed,"Joint statement with Duckworth - This rushed and poorly drafted Trump Administration initiative endangers our national security by limiting travel from certain Muslim-majority countries, and it may violate long-standing immigration law in its treatment of legal permanent residents by undermining vital rights like due process and equal protection that are guaranteed by the United States Constitution... The chaotic execution of this [Executive Order] … raises serious concerns in regard to whether taxpayer dollars were efficiently and effectively spent, rather than wasted on unwarranted and unjust detentions of lawful permanent residents (LPRs) and others who posed no security threat, and who had already been authorized by the United States Government to enter our country,” Duckworth and Durbin wrote. “We are deeply concerned by [Customs and Border Protection’s] failure to respond to time-sensitive Congressional oversight inquiries and allegations that the agency refused to permit attorneys to meet with detained LPRs at O’Hare and other airports across the country",https://www.duckworth.senate.gov/content/duckworth-durbin-request-immediate-investigation-department-homeland-security%E2%80%99s,,711 Hart Senate Office Building,202-224-2152,(312)353-4952,https://www.durbin.senate.gov/contact/,https://twitter.com/SenatorDurbin,@SenatorDurbin,,"230 S. Dearborn Street, Suite 3892, Chicago, IL 60604",
Joe,Donnelly,D,IN,Opposed - protested at airport,We can make our country even safer and do so in a way that is consistent with our values. The executive order that was signed yesterday by President Trump is not one of those ways.,https://twitter.com/SenDonnelly/status/825391567099850752,,720 Hart Senate Office Building,202-224-4814,812-425-5813,https://www.donnelly.senate.gov/contact/email-joe,https://twitter.com/SenDonnelly,@SenDonnelly,,"123 NW 4th Street, Suite 416, Evansville, IN 47708",
Todd,Young,R,IN,Support,"I look forward to carefully analyzing this temporary executive order and its effects, and working with this new administration and my colleagues in Congress to keep America safe while finally ending the unspeakable suffering of the Syrian people.",,2022,493 Russell Senate Office Building,202-224-5623,317-226-6700,https://www.young.senate.gov/content/contact-senator,@RepToddYoung,,@ToddYoungIN,"46 East Ohio Street, Suite 462, Indianapolis, IN 46204",
Jerry,Moran,R,KS,Opposed,"Keeping Americans safe should be our federal government's top priority. Strengthening our immigration system is critical to that end, and it’s common sense to have appropriate vetting procedures in place for individuals wishing to travel to our country. While I support thorough vetting, I do not support restricting the rights of U.S. citizens and lawful permanent residents. Furthermore, far-reaching national security policy should always be devised in consultation with Congress and relevant government agencies.",http://www.moran.senate.gov/public/index.cfm/news-releases?ID=293BF2D8-A60C-4B8B-9B21-6D4CEE08CEAF,2022,361A Russell Senate Office Building,202-224-6521,785-628-6401,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,https://twitter.com/JerryMoran,@JerryMoran,@moranforkansas,"1200 Main St., Suite 402, P.O. Box 249, Hays, KS 67601",
Pat,Roberts,R,KS,Soft support,"""I agree with President Trump that we need a major overhaul of our immigration system and a better vetting process for those entering our nation. One attack on our shores like those in Paris and Brussels is one too many. We have also seen too many crimes committed by illegal immigrants that should never have been in our country in the first place. However, we need to strike a balance that protects the rights of Americans and those permitted to enter the country legally. The president needs to work with Congress to ensure every aspect of a major policy change such as this is taken into consideration",http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=C20BCAB5-84EB-49F1-AC2A-DAA2B7940A0A,2020,109 Hart Senate Office Building,202-224-4774,913-451-9343,https://www.roberts.senate.gov/public/?p=EmailPat,https://twitter.com/SenPatRoberts,@SenPatRoberts,,"11900 College Boulevard, Suite 203, Overland Park KS 66210",
Mitch,McConnell,R,KY,Undecided,"McConnell on ABC on POTUS executive order: ""It’s going to be decided in the courts as to whether or not this has gone too far.""",https://twitter.com/abbydphillip/status/825711167792365568,2020,317 Russell Senate Office Building,202-224-2541,502-582-6304,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,https://twitter.com/SenateMajLdr,@SenateMajLdr,@McConnellPress,"601 W. Broadway, Room 630, Louisville, KY 40202",
Rand,Paul,R,KY,Support,"Critics of President Trump’s order halting travel from seven Muslim-majority countries need to recognize the flaws in the United States’s immigrationsystem before they challenge the president'saction, Sen. Rand Paul (R-Ky.) said Tuesday. “People ought to step back and see if we can agree that there’s a problem in order to decide whether we like the solution,” Paul said during an appearance on MSNBC. “And the problem is pretty clear that about 40 percent of people who come visit our country on a visa overstay their visa, and we have no idea where they are.”",http://thehill.com/policy/national-security/317061-rand-paul-dont-criticize-immigration-ban-until-you-recognize-the,2022,124 Russell Senate Office Building,202-224-4343,859-426-0165,https://www.paul.senate.gov/connect/email-rand,https://twitter.com/RandPaul,@RandPaul,@Team_Rand,"541 Buttermilk Pk Ste 102, Crescent Springs, KY 41017","Courrier_journal.com, Dec. 8 2015: Kentucky Sen. Rand Paul's presidential campaign said Tuesday he does not agree with Republican front-runner Donald Trump's controversial call to bar Muslims from entering the U.S."
Bill,Cassidy,R,LA,Soft opposed,"I know many physicians from these countries who provide vital healthcare services to fellow Americans. Some are naturalized citizens and some permanent residents with green cards. Often times they work in rural areas or inner cities where there ar eno other doctors. Their ability to return freely to the U.S. after traveling is important to their patients, neighbors, and families. Although I speak of doctors, there are others just as important. I am pleased to see that this order is being refined to address this and I look forward to it being further refined. Our nation's security and our Constitution can be respected simultaneously.",https://twitter.com/BillCassidy/status/825887011697463296,2020,703 Hart Senate Office Building,202-224-5824,225-929-7711,https://www.cassidy.senate.gov/contact,https://twitter.com/BillCassidy,@BillCassidy,,"5555 Hilton Ave., Suite 100, Baton Rouge, LA 70808 ",
John Neely,Kennedy,R,LA,Silent as of 2/3 2 pm PT,,,2022,516 Hart Senate Office Building,202-224-4623,(202) 224-4623,www.kennedy.senate.gov/content/contact-senator,https://twitter.com/JohnKennedyLA,@JohnKennedyLA,,"SRB11, Russell Senate Building, Washington, DC 20510",
Ed,Markey,D,MA,Opposed,"As war forces millions from their homeland, U.S. should welcome more #refugees, not less. I will fight @realDonaldTrump's immoral Muslim ban",https://twitter.com/SenMarkey/status/825462596220383233,,218 Russell Senate Office Building,202-224-2742,617-565-8519,www.markey.senate.gov/contact,https://twitter.com/senmarkey,@senmarkey,@EdMarkey,"975 JFK Federal Building, 15 New Sudbury Street, Boston, MA 02203",
Elizabeth,Warren,D,MA,Opposed - even went to Logan airport to protest,We will not allow a Muslim ban in the United States of America. Here's what I said at Logan Airport tonight. #NoBanNoWall,https://twitter.com/SenWarren/status/825524792958803972,,317 Hart Senate Office Building,202-224-4543,617-565-3170,https://www.warren.senate.gov/?p=email_senator,@SenWarren,,@elizabethforma,"2400 JFK Federal Building, 15 New Sudbury Street, Boston MA 02203",
Ben,Cardin,D,MD,Opposed,I call upon @POTUS to rescind his ExecOrder before it does any more damage to our national security or endangers the lives of Americans,https://twitter.com/SenatorCardin/status/825470940599447552,,509 Hart Senate Office Building,202-224-4524,410-962-4436,http://www.cardin.senate.gov/contact/,https://twitter.com/SenatorCardin,@SenatorCardin,,"100 S. Charles Street, Tower 1, Suite 1710, Baltimore MD 21201",
Chris,Van Hollen,D,MD,Opposed,President Trump's xenophobic executive order is an affront to our nation's values.,https://twitter.com/ChrisVanHollen/status/825445512329433088,,503 Hart Senate Office Building,202-224-4654,202-224-4654,www.vanhollen.senate.gov/content/contact-senator,@ChrisVanHollen,,@VanHollenForMD,"B40C Dirksen Senate Office Building, Washington, DC 20510",
Susan,Collins,R,ME,Opposed,The worldwide refugee ban set forth in the executive order is overly broad and implementing it will be immediately problematic. it could interfere with the immigration of Iraqis who worked for American forces in Iraq as translators and bodyguards — people who literally saved the lives of our troops and diplomats during the last decade and whose lives are at risk if they remain in Iraq.,http://bangordailynews.com/2017/01/28/politics/collins-king-pingree-denounce-trumps-immigrant-ban-poliquin-noncommittal/?preview_id=2366123,,413 Dirksen Senate Office Building,202-224-2523,207-622-8414,www.collins.senate.gov/contact,https://twitter.com/SenatorCollins,@SenatorCollins,,"68 Sewall Street, Room 507, Augusta, ME 04330",
Angus,King,I,ME,Opposed,"""Independent U.S. Sen. Angus King believes the administration’s actions “don’t protect us, but actually compromise our nation’s security,” said Scott Ogden, his spokesman.""",http://bangordailynews.com/2017/01/28/politics/collins-king-pingree-denounce-trumps-immigrant-ban-poliquin-noncommittal/?preview_id=2366123,2018,359 Dirksen Senate Office Building,202-224-5344,207-622-8292,https://www.king.senate.gov/contact,https://twitter.com/SenAngusKing,@SenAngusKing,@AngusKing2018,"4 Gabriel Drive, Suite 3, Augusta, ME 04330",
Gary,Peters,D,MI,Opposed,US was once beacon of hope for ppl fleeing persecution. Joined @SenateDems to send message that refugee ban runs counter to our values.,https://www.peters.senate.gov/newsroom/press-releases/peters-statement-on-trump-executive-orders-suspending-refugee-program-effectively-implementing-religious-test,,269 Russell Senate Office Building,202-224-6221,404-865-0087,https://www.peters.senate.gov/contact/email-gary,https://twitter.com/SenGaryPeters,@SenGaryPeters,@Peters4Michigan,"Patrick V. McNamara Federal Building, 477 Michigan Avenue, Suite 1860, Detroit, MI 48226",
Debbie,Stabenow,D,MI,Opposed,I am so proud of our vibrant Arab American & Muslim community in Michigan. Trump's Executive Order hurts our families & our businesses and does NOT make us safer!,https://www.facebook.com/stabenow/,2018,133 Hart Senate Office Building,202-224-4822,517-203-1760,http://www.stabenow.senate.gov/?p=contact,@SenStabenow,@stabenow,@TeamStabenow,"221 W. Lake Lansing Road, Suite 100, East Lansing, MI 48823",
Al,Franken,D,MN,Opposed,"...President Trump's has made it a top priority to tear families apart. It's disgraceful, and it's not who we are as a nation. And I'm going to do everything I can to fight this.",https://t.co/uOYAX7ZqeR,,309 Hart Senate Office Building,202-224-5641,218-722-2390,https://www.franken.senate.gov/?p=contact,https://twitter.com/alfranken,@alfranken,,"85016 515 W. 1st St., Suite 104, Duluth, MN 55802",
